Rank,Artist,Peak,Prev,Streak,URL
1, Ella Baila Sola,1,1,6,https://open.spotify.com/track/3dnP0JxCgygwQH9Gm7q7nb
2, Last Night,1,2,13,https://open.spotify.com/track/7K3BhSpAxZBznislvUMVtn
3, un x100to,3,8,2,https://open.spotify.com/track/6pD0ufEQq0xdHSsRbg9LBK
4, La Bebe - Remix,4,6,5,https://open.spotify.com/track/2UW7JaomAMuX9pZrjVpHAU
5, Boy's a liar Pt. 2,1,3,12,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv
6, Search & Rescue,1,4,3,https://open.spotify.com/track/7aRCf5cLOFN1U7kvtChY1G
7, Kill Bill,1,5,20,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL
8, Double Fantasy (with Future),8,—,1,https://open.spotify.com/track/4VMRsbfZzd3SfQtaJ1Wpwi
9, See You Again (feat. Kali Uchis),9,17,83,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
10, SLUT ME OUT,7,11,12,https://open.spotify.com/track/0WoVfPjxsf9MTvPt9ptqeE
11, Daylight,11,21,2,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj
12, PRC,10,10,13,https://open.spotify.com/track/2mpoNBkngUEwnaKoBhZ0vl
13, AMG,13,14,15,https://open.spotify.com/track/1lRtH4FszTrwwlK5gTSbXO
14, Flowers,1,9,15,https://open.spotify.com/track/4DHcnVTT87F0zZhRPYmZ3B
15, Cupid - Twin Ver.,15,20,6,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7
16, You Proof,8,16,50,https://open.spotify.com/track/5W4kiM2cUYBJXKRudNyxjW
17, Chemical,7,7,2,https://open.spotify.com/track/5TOgxgZrIZzvaKg9r2bvc2
18, Creepin' (with The Weeknd & 21 Savage),1,19,21,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO
19, Anti-Hero,1,22,27,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
20, Por las Noches,20,24,7,https://open.spotify.com/track/2VzCjpKvPB1l1tqLndtAQa
21, Superhero (Heroes & Villains) [with Future & Chris Brown],2,23,21,https://open.spotify.com/track/0vjeOZ3Ft5jvAi9SBFJm1j
22, Fast Car,10,12,5,https://open.spotify.com/track/1Lo0QY9cvc8sUB2vnIOxDT
23, Just Wanna Rock,5,27,28,https://open.spotify.com/track/4FyesJzVpA39hbYvcseO2d
24, Die For You,8,29,70,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
25, Calm Down (with Selena Gomez),25,33,18,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8
26, golden hour,8,26,36,https://open.spotify.com/track/5odlY52u43F5BjByhxg7wg
27, No Role Modelz,10,28,153,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
28, Sure Thing,10,35,25,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV
29, As It Was,1,31,56,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
30, Rich Flex,1,34,25,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N
31, Thinkin’ Bout Me,9,25,8,https://open.spotify.com/track/0PAcdVzhPO4gq1Iym9ESnK
32, El Azul,32,40,5,https://open.spotify.com/track/1haJsMtoBhHfvuM7XWuT3W
33, Trance (with Travis Scott & Young Thug),20,37,10,https://open.spotify.com/track/5wG3HvLhF6Y5KTGlK0IW3J
34, Bad Habit,1,36,43,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
35, One Thing At A Time,5,30,21,https://open.spotify.com/track/1rXq0uoV4KTgRN64jXzIxo
36, Cruel Summer,4,47,6,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
37, Moonlight,37,57,9,https://open.spotify.com/track/0JmnkIqdlnUzPaf8sqBRs3
38, Wasted On You,3,38,83,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
39, Snooze,17,42,20,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2
40, Princess Diana (with Nicki Minaj),15,15,2,https://open.spotify.com/track/0ZxhtATQ0a6EvQNZ0z6NKV
41, Something in the Orange,4,41,53,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI
42, Watch This - ARIZONATEARS Pluggnb Remix,10,44,11,https://open.spotify.com/track/0FA4wrjDJvJTTU8AepZTup
43, Never Felt So Alone,18,18,3,https://open.spotify.com/track/2NbsBSshscKIPRG3kwBbfo
44, TQG,6,39,9,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf
45, El Gordo Trae El Mando,45,56,10,https://open.spotify.com/track/3kf0WdFOalKWBkCCLJo4mA
46, Bebe Dame,18,58,18,https://open.spotify.com/track/0IKeDy5bT9G0bA7ZixRT4A
47, Rock and A Hard Place,26,50,46,https://open.spotify.com/track/4686eQ81DEswHa90bcdlC9
48, Players,23,43,15,https://open.spotify.com/track/6UN73IYd0hZxLi8wFPMQij
49, Lavender Haze,2,46,27,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC
50, Romantic Homicide,3,51,38,https://open.spotify.com/track/1xK59OXxi2TAAAbmZK0kBL
51, Chanel,51,94,3,https://open.spotify.com/track/5RcxRGvmYai7kpFSfxe5GY
52, Die For You (with Ariana Grande) - Remix,3,48,9,https://open.spotify.com/track/4W4fNrZYkobj539TOWsLO2
53, Jimmy Cooks (feat. 21 Savage),2,59,45,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe
54, Favorite Song,41,53,9,https://open.spotify.com/track/1SRw5p2lVAi7RGlHEmZg66
55, Karma,5,91,6,https://open.spotify.com/track/7KokYm8cMIXCsGVmUvKtqf
56, BESO,35,45,5,https://open.spotify.com/track/609E1JCInJncactoMmkDon
57, Here With Me,20,62,27,https://open.spotify.com/track/78Sw5GDo6AlGwTwanjXbGh
58, Money Trees,52,69,90,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
59, ceilings,16,60,14,https://open.spotify.com/track/2L9N0zZnd37dwF0clgxMGI
60, Kill Bill (feat. Doja Cat),13,13,2,https://open.spotify.com/track/0CrcwVLUe8wzLUIXgjXVZJ
61, Low Down,56,65,5,https://open.spotify.com/track/5m0yZ33oOy0yYBtdTXuxQe
62, Peaches,49,49,3,https://open.spotify.com/track/4w9soAM7IrmYDhSXLp14p6
63, DOGTOOTH,5,32,5,https://open.spotify.com/track/6OfOzTitafSnsaunQLuNFw
64, Pink + White,55,55,37,https://open.spotify.com/track/3xKsf9qdS1CyvXSMEid6g8
65, Sweater Weather,13,66,140,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
66, I Ain't Worried,7,63,47,https://open.spotify.com/track/4fYte8ZvTK14NEhAOZocBi
67, Shut up My Moms Calling,29,74,34,https://open.spotify.com/track/3hxIUxnT27p5WcmjGUXNwx
68, Glock In My Lap,8,70,17,https://open.spotify.com/track/6pcywuOeGGWeOQzdUyti6k
69, Low,4,64,20,https://open.spotify.com/track/2GAhgAjOhEmItWLfgisyOn
70, Don’t Blame Me,70,73,6,https://open.spotify.com/track/1R0a2iXumgCiFb7HEZ7gUE
71, The Color Violet,26,79,34,https://open.spotify.com/track/3azJifCSqg9fRij2yKIbWz
72, The Kind of Love We Make,15,71,45,https://open.spotify.com/track/48UKTR66uUOT9LaUvooTNx
73, family ties (with Kendrick Lamar),8,81,87,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
74, Thought You Should Know,17,72,51,https://open.spotify.com/track/3Qu3Zh4WTKhP9GEXo0aDnb
75, Me Porto Bonito,2,77,51,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
76, Lovers Rock,76,88,14,https://open.spotify.com/track/6dBUzqjtbnIa1TwYbyw5CM
77, Ain’t That Some,6,67,8,https://open.spotify.com/track/2YVlDlk2zRceefo6XlC6DX
78, Dark Red,16,82,90,https://open.spotify.com/track/3EaJDYHA0KnX88JvDhL9oa
79, Escapism.,20,75,21,https://open.spotify.com/track/5mHdCZtVyb4DcJw8799hZp
80, All Of The Girls You Loved Before,5,61,6,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy
81, Whiskey Glasses,43,76,17,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
82, Heartless,40,80,69,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
